,id,title,vote_average,vote_count,year,soup
22,9691,assassins,6.0,394.0,1995,competit assassin cia bank cat mexicanstandoff seattl hitman missionofmurd hiddencamera rivalri rescu shootout policechas sniperrifl silenc doublecross caribbean detroitmichigan sylvesterstallone antoniobanderas juliannemoore richarddonner richarddonner richarddonner Action Adventure Crime Thriller
23,12665,powder,6.3,143.0,1995,deadanim shottodeath teenageboy heldatgunpoint teacherstudentrelationship albino faint psionicpow healingpow extrasensorypercept marysteenburgen seanpatrickflanery lancehenriksen victorsalva victorsalva victorsalva Drama Fantasy Science Fiction Thriller
24,451,leaving las vegas,7.1,365.0,1995,individu prostitut alcohol casino loveatfirstsight lovesick filmproduc screenwrit hotelroom dyinganddeath rageandh unsoci alcohol losangel alcoholabus attemptedsuicid nicolascage elisabethshue juliansands mikefiggis mikefiggis mikefiggis Drama Romance
25,16420,othello,7.0,33.0,1995,shakespear jealousi friend laurencefishburne irènejacob kennethbranagh oliverparker oliverparker oliverparker Drama
26,9263,now and then,6.6,91.0,1995,1970s femalefriendship comingofag gynecologist womandirector christinaricci rosieo'donnell thorabirch leslilinkaglatter leslilinkaglatter leslilinkaglatter Comedy Drama Family
27,17015,persuasion,7.4,36.0,1995,captain napoleonicwar oldflam amandaroot ciaránhinds susanfleetwood rogermichell rogermichell rogermichell Drama Romance
28,902,the city of lost children,7.6,308.0,1995,clone dream island eye dystopia age friendship rescu children girl childhood ronperlman dominiquepinon judithvittet jean-pierrejeunet jean-pierrejeunet jean-pierrejeunet Fantasy Science Fiction Adventure
29,37557,shanghai triad,6.5,17.0,1995,servant cabaret shanghai diva uncl mistress umbrella gongli libao-tian wangxiaoxiao zhangyimou zhangyimou zhangyimou Drama Crime
30,9909,dangerous minds,6.4,249.0,1995,rapmus karat highschool navaloffic teacher amusementpark michellepfeiffer georgedzundza courtneyb.vance johnn.smith johnn.smith johnn.smith Drama Crime
31,63,twelve monkeys,7.4,2470.0,1995,schizophrenia philadelphia timetravel post-apocalypt dystopia lethalvirus monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam terrygilliam terrygilliam Science Fiction Thriller Mystery
33,9598,babe,6.0,756.0,1995,sheep pig affect piglet talkinganim separ germanshepherd talkingpig christinecavanaugh miriammargolyes dannymann chrisnoonan chrisnoonan chrisnoonan Fantasy Drama Comedy Family
34,47018,carrington,6.4,16.0,1995,england painter conscientiousobjector independentfilm soldier emmathompson jonathanpryce stevenwaddington christopherhampton christopherhampton christopherhampton History Drama Romance
35,687,dead man walking,7.3,350.0,1995,prison rape sociallydeprivedfamili penalti deathpenalti despair deathrow begnadigung therapist self-discoveri prisoncel courtcas deathsent doomedman sentenc lethalinject forgiv chariti rageandh unsoci rightandjustic court electricchair cowardli susansarandon seanpenn robertprosky timrobbins timrobbins timrobbins Drama
36,139405,across the sea of time,3.5,2.0,1995,peterreznick johnmcdonough avihoffman stephenlow stephenlow stephenlow Adventure History Drama Family
37,33689,it takes two,6.1,149.0,1995,orphan identicaltwin kirstiealley steveguttenberg ashleyolsen andytennant andytennant andytennant Comedy Family Romance
38,9603,clueless,6.9,828.0,1995,puberti highschool makeamatch spoiledchild gayinterest conflict womandirector aliciasilverstone staceydash brittanymurphy amyheckerling amyheckerling amyheckerling Comedy Drama Romance
39,34615,"cry, the beloved country",6.7,13.0,1995,southafrica jamesearljones charless.dutton jackrobinson darrelljamesroodt darrelljamesroodt darrelljamesroodt Drama
40,31174,richard iii,6.9,50.0,1995,england shakespear kidnap murder king ianmckellen annettebening jimbroadbent richardloncraine richardloncraine richardloncraine Drama War
41,11443,dead presidents,6.6,80.0,1995,money lossofvirgin armoredtruck larenztate keithdavid christucker alberthughes alberthughes alberthughes Action Crime Drama History
42,35196,restoration,6.3,30.0,1995,jealousi medicin fountain court wealth glove robertdowneyjr. megryan samneill michaelhoffman michaelhoffman michaelhoffman Drama Romance
43,9312,mortal kombat,5.4,452.0,1995,martialart monster island gore sorcer tournament violenc basedonvideogam handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson paulw.s.anderson paulw.s.anderson Action Fantasy
44,577,to die for,6.7,177.0,1995,adulteri winter obsess televis newhampshir nicolekidman mattdillon joaquinphoenix gusvansant gusvansant gusvansant Fantasy Drama Comedy Thriller
45,11861,how to make an american quilt,6.5,38.0,1995,weddingvow marriagepropos marriedcoupl advic marriag love familyholiday extramaritalaffair grandmoth womandirector winonaryder annebancroft ellenburstyn jocelynmoorhouse jocelynmoorhouse jocelynmoorhouse Drama Romance
46,807,se7en,8.1,5915.0,1995,self-fulfillingpropheci detect s.w.a.t. drugdeal eviscer lustandimpuls rageandh prideandvan insomnia investig pension polic serialkil bradpitt morganfreeman gwynethpaltrow davidfincher davidfincher davidfincher Crime Mystery Thriller
47,10530,pocahontas,6.7,1509.0,1995,cultureclash settler forbiddenlov coloni music goldrush princess romanc nativeamerican anim virginia starcrossedlov crossculturalrelationship musket basedonmythsorfolklor 17thcenturi song animalsidekick irenebedard melgibson davidogdenstiers mikegabriel mikegabriel mikegabriel Adventure Animation Drama Family
48,8391,when night is falling,5.9,10.0,1995,professor lgbt womandirector pascalebussières rachaelcrawford henryczerny patriciarozema patriciarozema patriciarozema Drama Romance
49,629,the usual suspects,8.1,3334.0,1995,law relat theft crimin criminalmastermind hungarian sibl stephenbaldwin gabrielbyrne chazzpalminteri bryansinger bryansinger bryansinger Drama Crime Thriller
51,11448,mighty aphrodite,6.7,145.0,1995,prostitut adopt adoptivefath childless lookingforbirthpar adoptivemoth independentfilm illegalprostitut child woodyallen mirasorvino helenabonhamcarter woodyallen woodyallen woodyallen Comedy Romance
52,49133,lamerica,7.7,11.0,1994,independentfilm enricoloverso micheleplacido piromilkani gianniamelio gianniamelio gianniamelio Drama Foreign
53,26441,the big green,5.2,41.0,1995,sport kidsandfamili soccer womandirector steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan hollygoldbergsloan hollygoldbergsloan Action Adventure Comedy Family
54,97406,georgia,6.1,15.0,1995,alcohol artist music drug band jenniferjasonleigh marewinningham tedlevine ulugrosbard ulugrosbard ulugrosbard Drama
56,9089,home for the holidays,6.3,39.0,1995,baltimor thanksgiv familyclan familyconflict womandirector hollyhunter robertdowneyjr. annebancroft jodiefoster jodiefoster jodiefoster Comedy Drama Romance
57,11010,the postman,7.6,181.0,1994,island letter postman fisherman poet philippenoiret massimotroisi mariagraziacucinotta michaelradford michaelradford michaelradford Comedy Drama Romance
58,99040,the confessional,6.5,2.0,1995,lothairebluteau patrickgoyette jean-louismillette robertlepage robertlepage robertlepage Thriller Drama Mystery
59,11359,the indian in the cupboard,5.9,136.0,1995,cupboard game puppet parallelworld toycomestolif halscardino litefoot lindsaycrouse frankoz frankoz frankoz Adventure Family Fantasy
60,17182,eye for an eye,5.8,65.0,1996,rape gun self-defens sallyfield kiefersutherland edharris johnschlesinger johnschlesinger johnschlesinger Drama Thriller
61,2054,mr. holland's opus,6.9,115.0,1995,compos mentor deaf-mut music apprentic privatelif music disabl richarddreyfuss glenneheadly jaythomas stephenherek stephenherek stephenherek Music Drama Family
62,10607,don't be a menace to south central while drinking your juice in the hood,6.2,192.0,1996,date slang hip-hop cousin parodi hood gang socialsatir racism gangster shawnwayans marlonwayans traceycherellejones parisbarclay parisbarclay parisbarclay Comedy
63,19760,two if by sea,4.5,14.0,1996,island paint thief seasick sandrabullock denisleary yaphetkotto billbennett billbennett billbennett Comedy Romance
64,9536,bio-dome,4.4,110.0,1996,biotop vegetarian pollut paulyshore stephenbaldwin joeylaurenadams jasonbloom jasonbloom jasonbloom Comedy
65,11525,lawnmower man 2: beyond cyberspace,2.8,32.0,1996,hacker virtualr comput swordfight patrickbergin mattfrewer austino'brien farhadmann farhadmann farhadmann Action Science Fiction
67,4482,french twist,6.0,43.0,1995,lovetriangl southernfr estateag menageatroi van womandirector victoriaabril josianebalasko alainchabat josianebalasko josianebalasko josianebalasko Comedy Romance
68,10634,friday,7.0,513.0,1995,rapmus parentchildrelationship rapper job icecube christucker nialong f.garygray f.garygray f.garygray Comedy
69,755,from dusk till dawn,6.9,1644.0,1996,danc brotherbrotherrelationship sexualobsess showdown sheriff erotic nuditi bankrobb vampir holywat sieg stripper priest explos extremeviol bankrobberi preacher hostagesitu crucifix recreationalvehicl bloodspurt conveniencestor femalevampir georgeclooney quentintarantino harveykeitel robertrodriguez robertrodriguez robertrodriguez Horror Action Thriller Crime
70,11859,fair game,4.1,54.0,1995,bomb miami sex detect handcuff basedonnovel hostag fbi kidnap russian kgb chase sadism parkinggarag pizza policeprotect psychopath remak carcrash conspiraci ontherun fugit shootout gunfight sadist footchas policedetect policest carchas heldatgunpoint fbiag doublecross cultfilm computerhack machinegun swatteam grenadelaunch underwaterscen rogueag damselindistress williambaldwin cindycrawford stevenberkoff andrewsipes andrewsipes andrewsipes Action Thriller Romance
71,28387,kicking and screaming,7.0,36.0,1995,colleg joshhamilton oliviad'abo carlosjacott noahbaumbach noahbaumbach noahbaumbach Comedy Drama Romance
72,48750,les miserables,6.6,8.0,1995,pari nun boxer lawyer jewish jean-paulbelmondo michelboujenah alessandramartines claudelelouch claudelelouch claudelelouch Drama History
73,20927,bed of roses,5.1,27.0,1996,florist familyrelationship christianslater marystuartmasterson pamelaadlon michaelgoldenberg michaelgoldenberg michaelgoldenberg Drama Romance
75,9102,screamers,6.1,154.0,1995,manvsmachin alienplanet struggleforsurviv peterweller roydupuis jenniferrubin christianduguay christianduguay christianduguay Horror Science Fiction
76,124626,nico icon,7.3,3.0,1995,nico tinaaumont jacksonbrowne susanneofteringer susanneofteringer susanneofteringer Documentary
77,27526,the crossing guard,6.1,74.0,1995,lossofdaught reveng suspens independentfilm tragedi jacknicholson davidmorse anjelicahuston seanpenn seanpenn seanpenn Drama Thriller
78,9623,the juror,5.5,91.0,1996,juror blackmail courtcas son trial courtroom demimoore alecbaldwin josephgordon-levitt briangibson briangibson briangibson Drama Thriller
79,46785,the white balloon,7.5,20.0,1995,fish money celebr aidamohammadkhani mohsenkafili fereshtehsadreorafaiy jafarpanahi jafarpanahi jafarpanahi Family Drama
80,400,things to do in denver when you're dead,6.7,87.0,1995,fathersonrelationship bountyhunt boat wayoflif coffin denver godmoth paranoia hitman friendship psychopath reveng murder independentfilm mafia diner blood gangster violenc illegalprostitut extramaritalaffair andygarcía christopherlloyd williamforsythe garyfleder garyfleder garyfleder Drama Crime
81,880,antonia's line,7.2,26.0,1995,suicid underdog freelov philosophi rape mentallydis lossofmoth villagelif worldwarii femin indiansummer familyhistori widow peasant villag mathemat freedom rightandjustic singl homosexu motherdaughterrelationship domesticviol univers womandirector willekevanammelrooy elsdottermans doravandergroen marleengorris marleengorris marleengorris Drama Comedy
82,146599,once upon a time... when we were colored,4.5,2.0,1996,"racialsegreg familyrelationship ruralset africanamerican alfreeman,jr. phyliciarashād paulakelly timreid timreid timreid Romance Drama"
83,188588,last summer in the hamptons,0.0,0.0,1995,victoriafoyt vivecalindfors jonrobinbaitz henryjaglom henryjaglom henryjaglom
84,8447,angels and insects,6.3,17.0,1995,classsocieti richwoman-poorman scientist naturalist insect markrylance kristinscottthomas patsykensit philiphaas philiphaas philiphaas Drama Romance
85,10534,white squall,6.3,86.0,1996,sailingtrip diari sail surviv comingofag teenageboy disciplin shipcaptain caribbean malebond seasick stormatsea 1960s jeffbridges carolinegoodall johnsavage ridleyscott ridleyscott ridleyscott Action Drama
86,17414,dunston checks in,5.1,59.0,1996,boss fistfight bulli orangutan jasonalexander fayedunaway ericlloyd kenkwapis kenkwapis kenkwapis Adventure Comedy Family
87,13997,black sheep,6.0,124.0,1996,doubleact politicalsatir crookedpolitician womandirector chrisfarley davidspade grantheslov penelopespheeris penelopespheeris penelopespheeris Comedy
88,2086,nick of time,6.1,190.0,1995,assassin trainstat polit losangel johnnydepp courtneychase charless.dutton johnbadham johnbadham johnbadham Crime Drama Thriller
90,9095,mary reilly,5.7,77.0,1996,servant monster laboratori jekyllandhyd 19thcenturi juliaroberts johnmalkovich georgecole stephenfrears stephenfrears stephenfrears Drama Horror Thriller Romance
91,12158,vampire in brooklyn,4.5,113.0,1995,vampir halfvampir eddiemurphy angelabassett allenpayne wescraven wescraven wescraven Comedy Horror Romance
92,9283,beautiful girls,6.6,103.0,1996,hometown mattdillon noahemmerich annabethgish teddemme teddemme teddemme Comedy Drama Romance
93,9208,broken arrow,5.7,459.0,1996,helicopt river captain underground mexicanstandoff countdown pilot fistfight canyon major betray gunfight train explos desert militari box abandonedmin johntravolta christianslater samanthamathis johnwoo johnwoo johnwoo Action Adventure Drama Thriller
94,40154,a midwinter's tale,7.5,6.0,1995,play hamlet christma actor richardbriers joancollins michaelmaloney kennethbranagh kennethbranagh kennethbranagh Comedy
95,406,la haine,7.9,695.0,1995,pari neo-nazi skinhead robberi policebrut hip-hop gun sociallydeprivedfamili breakdanc arabian boredom reveng suburb violenc policeoffic unemploy captur xenophobia vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz mathieukassovitz mathieukassovitz Drama
96,45549,shopping,5.6,13.0,1994,sadiefrost judelaw seanpertwee paulw.s.anderson paulw.s.anderson paulw.s.anderson Action Adventure Drama Science Fiction Thriller
97,63076,heidi fleiss: hollywood madam,6.8,4.0,1995,narrat hollywood prostitut nickbroomfield heidifleiss madamalex nickbroomfield nickbroomfield nickbroomfield Documentary
98,11062,city hall,6.0,67.0,1996,corrupt undercov warondrug mayor drugdeal presidentialelect undercoverag investig polic drug alpacino johncusack bridgetfonda haroldbecker haroldbecker haroldbecker Drama Thriller
99,13685,bottle rocket,6.8,285.0,1996,brotherbrotherrelationship robberi burglar languagebarri motel independentfilm psychiatrichospit maid theft nervousbreakdown escapad lukewilson owenwilson lumicavazos wesanderson wesanderson wesanderson Comedy Crime Drama
100,47475,mr. wrong,3.3,16.0,1996,ellendegeneres billpullman joancusack nickcastle nickcastle nickcastle Comedy Romance
101,2045,unforgettable,5.3,22.0,1996,wifehusbandrelationship experi polic murder suspens memori forens gunman animalexperiment rayliotta lindafiorentino petercoyote johndahl johndahl johndahl Drama Mystery Science Fiction Thriller
102,9614,happy gilmore,6.5,767.0,1996,lossofmoth lossoffath golf sport tax adamsandler benstiller christophermcdonald dennisdugan dennisdugan dennisdugan Comedy
103,688,the bridges of madison county,7.3,397.0,1995,farewel adulteri loveatfirstsight photograph wifehusbandrelationship iowa loveofone'slif motherrol bridg housewif lovelett peasant marriagecrisi photographi unsoci secretlov merylstreep clinteastwood anniecorley clinteastwood clinteastwood clinteastwood Drama Romance
105,10874,muppet treasure island,6.5,93.0,1996,island pirategang puppet treasurehunt timcurry kevinbishop jennifersaunders brianhenson brianhenson brianhenson Action Comedy Music Family Adventure
106,89333,catwalk,7.0,2.0,1995,christyturlington azzedinealaïa giorgioarmani robertleacock robertleacock robertleacock Documentary
108,197,braveheart,7.7,3404.0,1995,individu scotland inlovewithenemi legend independ ideal revolt tyranni melgibson catherinemccormack sophiemarceau melgibson melgibson melgibson Action Drama History War
109,103,taxi driver,8.1,2632.0,1976,vietnamveteran taxi obsess drugdeal nightshift vigilant alien misanthrop shottodeath illegalprostitut loner robertdeniro cybillshepherd harveykeitel martinscorsese martinscorsese martinscorsese Crime Drama
110,33542,rumble in the bronx,6.5,245.0,1995,newyork martialart supermarket gangwar gang wed diamond bronx duringcreditssting jackiechan anitamui françoiseyip stanleytong stanleytong stanleytong Crime Action Comedy Thriller
111,43566,before and after,5.8,37.0,1996,merylstreep liamneeson edwardfurlong barbetschroeder barbetschroeder barbetschroeder Drama Thriller
112,71754,margaret's museum,7.5,2.0,1995,mine dancelesson coalmin bagpip helenabonhamcarter cliverussell craigolejnik mortransen mortransen mortransen Drama
114,51352,anne frank remembered,7.3,4.0,1995,fascism auschwitz typhus victim interview prejudic burglari rabbit kennethbranagh glennclose jonblair jonblair jonblair Documentary Drama Foreign
115,16934,the young poisoner's handbook,6.9,19.0,1995,londonengland poison basedontruestori murder serialkil mentalinstitut teenag psychiatrist tobiasarnold ruthsheen rogerlloydpack benjaminross benjaminross benjaminross Comedy Crime Drama
116,10324,if lucy fell,5.4,11.0,1996,roommat singl love independentfilm bestfriend brooklynbridg sarahjessicaparker ellemacpherson scarlettjohansson ericschaeffer ericschaeffer ericschaeffer Comedy Romance
117,78406,steal big steal little,5.1,7.0,1995,brotherbrotherrelationship twinbroth lawyer estat andygarcía alanarkin rachelticotin andrewdavis andrewdavis andrewdavis Comedy Drama
119,32119,the boys of st. vincent,7.0,7.0,1992,henryczerny johnnymorina briandooley johnn.smith johnn.smith johnn.smith Drama
120,11066,boomerang,5.4,139.0,1992,roleofwomen ladykil success ladies'man casanova woman eddiemurphy robingivens halleberry reginaldhudlin reginaldhudlin reginaldhudlin Comedy Romance
121,11104,chungking express,7.9,249.0,1994,ex-girlfriend drugsmuggl girlfriend snackbar romanc hongkong flightattend brigittelin tonyleungchiu-wai fayewong wongkar-wai wongkar-wai wongkar-wai Drama Comedy Romance
122,37975,the star maker,6.8,29.0,1995,sergiocastellitto tizianalodato francoscaldati giuseppetornatore giuseppetornatore giuseppetornatore Drama Romance
123,2074,flirting with disaster,6.3,66.0,1996,lsd lookingforbirthpar half-broth independentfilm benstiller patriciaarquette téaleoni davido.russell davido.russell davido.russell Comedy Romance
124,27793,the neverending story iii: escape from fantasia,4.4,105.0,1994,fli magic jasonjamesrichter melodykay kevinmcnulty petermacdonald petermacdonald petermacdonald Fantasy
127,110972,pie in the sky,7.0,2.0,1996,joshcharles anneheche johngoodman bryangordon bryangordon bryangordon Comedy Romance
128,32622,angela,5.6,9.0,1995,independentfilm womandirector mirandarhyne charlotteeveblythe annalevine rebeccamiller rebeccamiller rebeccamiller Comedy Drama
129,73067,frankie starlight,5.4,4.0,1995,boy writer ireland flashback mattdillon corbanwalker gabrielbyrne michaellindsay-hogg michaellindsay-hogg michaellindsay-hogg Drama Romance War
130,11863,jade,5.1,45.0,1995,callgirl sanfrancisco investig murder davidcaruso lindafiorentino chazzpalminteri williamfriedkin williamfriedkin williamfriedkin Action Thriller Mystery Romance
133,9101,down periscope,5.6,110.0,1996,submarin u.s.navi misfit kelseygrammer laurenholly robschneider davids.ward davids.ward davids.ward Comedy
135,5757,man of the year,3.8,2.0,1995,homosexu independentfilm mockumentari dirkshafer marystein claudettesutherland dirkshafer dirkshafer dirkshafer Comedy
138,9302,up close & personal,5.9,51.0,1996,skabundertv foran nederstehyld robertredford michellepfeiffer stockardchanning jonavnet jonavnet jonavnet Drama Romance
139,11000,the birdcage,6.7,303.0,1996,gay dragqueen homophobia florida comingout senat politician lgbt crossdress 1990s robinwilliams genehackman nathanlane mikenichols mikenichols mikenichols Comedy
141,16388,the brothers mcmullen,6.3,23.0,1995,love independentfilm bestfriend truelov irishcathol sharialbert maxinebahns catharinebolz edwardburns edwardburns edwardburns Comedy Drama Romance
142,9737,bad boys,6.5,1729.0,1995,miami detect handcuff airport mexicanstandoff stripclub witnessprotect carcrash internalaffair gunfight explos brutal footchas carchas druglord actionhero corruptcop willsmith martinlawrence téaleoni michaelbay michaelbay michaelbay Action Comedy Crime Thriller
143,30765,the amazing panda adventure,5.0,31.0,1995,china panda poacher stephenlang ryanslater yiding christophercain christophercain christophercain Action Adventure Drama Family
144,10474,the basketball diaries,7.2,472.0,1995,sport basketbal addict friend drug leonardodicaprio lorrainebracco jamesmadio scottkalvert scottkalvert scottkalvert Drama Crime
145,22279,an awfully big adventure,6.0,11.0,1995,england basedonnovel 1940s alanrickman hughgrant georginacates mikenewell mikenewell mikenewell Romance Drama Comedy
146,30157,amateur,6.5,21.0,1994,independentfilm isabellehuppert martindonovan elinalöwensohn halhartley halhartley halhartley Crime Comedy Drama Thriller
147,568,apollo 13,7.3,1637.0,1995,moon florida nasa spaceman raceagainsttim basedontruestori space rescu surviv disast explos astronaut imax courag tomhanks billpaxton kevinbacon ronhoward ronhoward ronhoward Drama
148,11780,rob roy,6.5,151.0,1995,scotland biographi 18thcenturi liamneeson jessicalange johnhurt michaelcaton-jones michaelcaton-jones michaelcaton-jones Adventure
149,34996,the addiction,6.4,46.0,1995,newyork philosophi vampir blood student violenc lilitaylor christopherwalken annabellasciorra abelferrara abelferrara abelferrara Drama Horror
150,414,batman forever,5.2,1529.0,1995,riddl dccomic rose gothamc partner superhero robin brokenneck psychologist violenc crimin districtattorney millionair tiedup tommygun knockedout superpow disfigur fatherfigur valkilmer tommyleejones jimcarrey joelschumacher joelschumacher joelschumacher Action Crime Fantasy
151,649,belle de jour,7.3,163.0,1967,prostitut adulteri doublelif dualident jealousi wifehusbandrelationship brothel dream women'ssexualident fantasi masoch independentfilm catherinedeneuve michelpiccoli jeansorel luisbuñuel luisbuñuel luisbuñuel Drama Romance
152,1873,beyond rangoon,6.4,21.0,1995,burma doctor patriciaarquette francesmcdormand uaungko johnboorman johnboorman johnboorman Drama Thriller
153,5894,blue in the face,6.8,28.0,1995,smoke cornershop cigarett tobacco cigar independentfilm harveykeitel loureed michaelj.fox paulauster paulauster paulauster Comedy
154,1775,canadian bacon,5.9,57.0,1995,johncandy alanalda rheaperlman michaelmoore michaelmoore michaelmoore Action Comedy
155,8839,casper,6.0,1045.0,1995,halloween friendship supernatur afterlif friend danger ghost disord younghero imaginari supernatural christinaricci billpullman cathymoriarty bradsilberling bradsilberling bradsilberling Fantasy Comedy Family
156,20649,clockers,6.8,69.0,1995,drugpush train drug druglord harveykeitel johnturturro delroylindo spikelee spikelee spikelee Mystery Crime Drama
157,10329,congo,5.0,214.0,1995,gorilla kongo diamondmin diamond lauralinney dylanwalsh erniehudson frankmarshall frankmarshall frankmarshall Action Adventure Drama Mystery Science Fiction Thriller
158,8963,crimson tide,7.0,508.0,1995,submarin mutini russia missil nuclearmissil embassi u.s.navi battleforpow torpedo militari moraldilemma aircraftcarri denzelwashington genehackman mattcraven tonyscott tonyscott tonyscott Action Thriller Drama
159,26564,crumb,7.6,71.0,1994,underground biographi art robertcrumb alinekominsky charlescrumb terryzwigoff terryzwigoff terryzwigoff Documentary
160,8068,desperado,6.8,898.0,1995,gunsling antiterror ambush mexico showdown guitar nuditi hitman bartend reveng tragichero shootout explos extremeviol brutal druglord legbrac flashback antoniobanderas salmahayek joaquimdealmeida robertrodriguez robertrodriguez robertrodriguez Thriller Action Crime
161,8512,devil in a blue dress,6.3,88.0,1995,jazzclub murder losangel privatedetect filmnoir neo-noir denzelwashington tomsizemore jenniferbeals carlfranklin carlfranklin carlfranklin Drama Mystery Thriller
162,1572,die hard: with a vengeance,6.9,2094.0,1995,bomb taxi riddl robberi detect helicopt gold subway ship fistfight polic sequel decept shootout newyorkc explos violenc carchas fbiag flashback aqueduct actionhero brucewillis jeremyirons samuell.jackson johnmctiernan johnmctiernan johnmctiernan Action Thriller
163,13552,the doom generation,5.6,57.0,1995,sex erotic nuditi nazi suspens drifter voyeur rosemcgowan jamesduval johnathonschaech greggaraki greggaraki greggaraki Action Comedy Crime Drama
164,259209,feast of july,0.0,0.0,1995,embethdavidtz tombell gemmajones christophermenaul christophermenaul christophermenaul Drama Crime
165,6520,first knight,5.9,319.0,1995,camelot knight kingarthur knightsoftheroundt seanconnery richardgere juliaormond jerryzucker jerryzucker jerryzucker Action Adventure Drama Romance
166,9073,free willy 2 - the adventure home,5.5,130.0,1995,humananimalrelationship whale killerwhal jasonjamesrichter michaelmadsen jayneatkinson dwighth.little dwighth.little dwighth.little Adventure
167,10428,hackers,6.2,406.0,1995,femalenud hacker nuditi computervirus virtualr comput sexualfantasi prank internet cyberpunk teenag newyorkc secretservic computerhack dreamsequ jonnyleemiller angelinajolie jessebradford iainsoftley iainsoftley iainsoftley Action Crime Thriller Drama
